TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1486620152,"North Station","301","Lowell",1486636500,0,"6","On Time"
1486620152,"North Station","303","Lowell",1486638900,0,,"On Time"
1486620152,"North Station","401","Wachusett",1486639500,0,,"On Time"
1486620152,"North Station","153","Newburyport",1486639560,0,,"On Time"
1486620152,"North Station","305","Lowell",1486640220,0,,"On Time"
1486620152,"North Station","101","Rockport",1486640340,0,,"On Time"
1486620152,"North Station","285","Reading",1486640580,0,,"On Time"
1486620152,"North Station","491","Littleton / Rte 495",1486640700,0,,"On Time"
1486620152,"North Station","191","Beverly",1486642080,0,,"On Time"
1486620152,"North Station","287","Reading",1486642200,0,,"On Time"
1486620152,"North Station","307","Lowell",1486642860,0,,"On Time"
1486620152,"North Station","201","Haverhill",1486643700,0,,"On Time"
1486620152,"North Station","155","Newburyport",1486643820,0,,"On Time"
1486620152,"North Station","391","",1486644120,0,,"On Time"
1486620152,"North Station","403","Wachusett",1486644180,0,,"On Time"
1486620152,"North Station","103","Rockport",1486644600,0,,"On Time"
1486620152,"North Station","289","",1486644900,0,,"On Time"
1486620152,"North Station","157","Newburyport",1486645800,0,,"On Time"
1486620152,"North Station","309","Lowell",1486646160,0,,"On Time"
1486620152,"North Station","105","Rockport",1486647300,0,,"On Time"
1486620152,"South Station","701","Forge Park / 495",1486630200,0,,"On Time"
1486620152,"South Station","501","Worcester / Union Station",1486634100,0,,"On Time"
1486620152,"South Station","581","Framingham",1486634400,0,,"On Time"
1486620152,"South Station","901","Stoughton",1486635600,0,,"On Time"
1486620152,"South Station","801","Providence",1486636200,0,,"On Time"
1486620152,"South Station","583","Framingham",1486636200,0,,"On Time"
1486620152,"South Station","503","Worcester / Union Station",1486637100,0,,"On Time"
1486620152,"South Station","843","Attleboro",1486639080,0,,"On Time"
1486620152,"South Station","751","Readville",1486639440,0,,"On Time"
1486620152,"South Station","803","Providence",1486639860,0,,"On Time"
1486620152,"South Station","003","Middleboro/Lakeville",1486640100,0,,"On Time"
1486620152,"South Station","741","Walpole",1486640700,0,,"On Time"
1486620152,"South Station","585","Framingham",1486640880,0,,"On Time"
1486620152,"South Station","071","Greenbush",1486641240,0,,"On Time"
1486620152,"South Station","903","Stoughton",1486641540,0,,"On Time"
1486620152,"South Station","601","Needham Heights",1486641900,0,,"On Time"
1486620152,"South Station","753","Readville",1486642200,0,,"On Time"
